Tuition fees up to date,Scholarship holder,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target,Application mode,Debtor,Gender,Age at enrollment
1,0,6,6,12.666666666666666,6,6,14.125,1,3,0,0,18
1,0,5,1,10.0,5,1,10.0,0,1,0,1,21
1,0,8,7,13.0,8,7,13.0,1,1,0,1,18
1,0,6,0,0.0,6,0,0.0,0,1,0,1,18
1,0,8,7,13.742857142857144,8,7,13.742857142857144,1,4,0,0,29
1,1,7,7,14.093333333333332,8,8,15.0,1,1,0,0,20
1,1,6,6,13.555555555555555,6,6,12.666666666666666,1,15,0,1,24
0,0,6,0,0.0,6,0,0.0,0,12,1,1,34
1,0,5,4,12.5,5,4,14.25,1,1,0,1,19
1,0,6,6,15.166666666666666,6,2,15.5,1,12,0,0,24
1,1,0,0,0.0,0,0,0.0,1,8,0,1,19
1,0,6,6,13.857142857142858,6,5,13.4,1,1,0,0,19
0,0,6,0,0.0,6,0,0.0,0,1,1,0,18
1,1,8,7,11.4,8,7,11.4,1,9,0,0,19
1,0,6,5,13.142857142857142,6,3,12.666666666666666,0,12,1,1,24
1,0,6,6,11.666666666666666,6,5,13.2,1,8,0,0,18
1,1,6,6,14.857142857142858,6,6,13.11111111111111,1,1,0,0,19
1,0,7,7,13.585714285714284,8,8,14.6875,1,14,0,1,20
1,0,5,3,12.333333333333334,5,0,0.0,0,8,0,1,19
1,0,5,0,0.0,5,0,0.0,0,4,0,0,25
0,0,5,2,12.5,5,1,11.0,0,8,0,1,19
1,0,5,0,0.0,5,0,0.0,0,13,0,1,22
1,0,7,6,12.571428571428571,9,9,12.555555555555555,1,15,0,1,25
0,0,6,2,16.0,7,2,16.0,0,15,1,1,24
1,1,6,6,14.166666666666666,6,4,14.0,1,1,0,0,18
1,0,7,6,13.492857142857144,8,8,12.68888888888889,1,1,0,1,19
1,0,6,6,14.666666666666666,6,6,15.142857142857142,1,1,0,0,19
1,0,18,18,12.5,13,12,11.428571428571429,1,14,0,1,28
0,0,8,4,10.5,10,7,10.428571428571429,0,16,1,1,26
1,0,6,6,13.666666666666666,6,6,13.5,1,1,0,1,18
1,0,7,0,0.0,8,0,0.0,0,4,0,0,26
0,0,6,6,13.375,6,6,13.0,1,15,0,0,20
1,0,6,5,12.4,6,1,11.0,0,1,0,0,21
1,0,5,4,10.75,5,5,11.4,1,1,0,1,21
1,0,5,5,12.8,5,5,12.6,1,1,0,0,18
1,0,6,6,13.833333333333334,6,6,13.666666666666666,1,1,0,1,18
0,0,5,3,11.666666666666666,5,2,11.5,0,12,0,1,28
1,0,7,7,12.142857142857142,7,7,13.142857142857142,1,8,0,0,18
1,0,12,9,12.333333333333334,11,6,13.166666666666666,0,4,0,1,27
1,1,6,5,11.0,6,5,12.0,1,1,0,0,21
1,0,6,0,0.0,6,0,0.0,0,8,0,0,19
0,0,5,5,10.6,5,5,14.666666666666666,0,12,1,1,39
1,0,7,7,14.05,8,8,15.1,1,8,0,0,19
1,0,8,7,13.258571428571427,8,7,13.258571428571427,1,1,0,0,19
